trade_no,session_date,entry_time,exit_time,side,entry_strike,atm_at_entry,atm_at_exit,spot_at_entry,spot_at_exit,entry_premium,exit_premium,holding_bars,holding_seconds,exit_reason,gross_pnl_pts,gross_pnl_inr,spread_cost_inr,stt_inr,brokerage_inr,exchange_inr,total_cost_inr,net_pnl_inr,premium_missing
11,2026-03-09,2026-03-09T10:15:45.000000,2026-03-09T10:17:45.000000,CE,23800.0,23800.0,23750.0,23783.0,23769.35,212.4,208.7,24,120,TIME,-3.700000000000017,-277.50000000000125,225.0,9.782812499999999,40,10,284.7828125,-562.2828125000012,false
12,2026-03-09,2026-03-09T10:17:45.000000,2026-03-09T10:18:10.000000,CE,23750.0,23750.0,23750.0,23769.35,23758.5,236.9,229.2,5,25,STOP,-7.700000000000017,-577.5000000000013,225.0,10.743749999999999,40,10,285.74375,-863.2437500000012,false
13,2026-03-10,2026-03-10T10:15:05.000000,2026-03-10T10:15:35.000000,CE,24150.0,24150.0,24150.0,24152.85,24170.4,88.2,98.2,6,30,TARGET,10.0,750.0,225.0,4.603125,40,10,279.603125,470.396875,false
14,2026-03-10,2026-03-10T10:15:35.000000,2026-03-10T10:15:55.000000,CE,24150.0,24150.0,24200.0,24170.4,24187.75,98.2,110.5,4,20,TARGET,12.299999999999997,922.4999999999998,225.0,5.1796875,40,10,280.1796875,642.3203124999998,false
15,2026-03-10,2026-03-10T10:15:55.000000,2026-03-10T10:17:30.000000,CE,24200.0,24200.0,24200.0,24187.75,24199.4,80.1,90.1,19,95,TARGET,10.0,750.0,225.0,4.223437499999999,40,10,279.2234375,470.7765625,false
16,2026-03-11,2026-03-11T10:15:05.000000,2026-03-11T10:17:05.000000,CE,24100.0,24100.0,24100.0,24114.5,24113.65,301.1,302.25,24,120,TIME,1.1499999999999773,86.2499999999983,225.0,14.16796875,40,10,289.16796875,-202.9179687500017,false
17,2026-03-11,2026-03-11T10:17:05.000000,2026-03-11T10:19:05.000000,CE,24100.0,24100.0,24150.0,24113.65,24129.55,302.25,306.25,24,120,TIME,4.0,300.0,225.0,14.35546875,40,10,289.35546875,10.64453125,false
18,2026-03-11,2026-03-11T10:19:05.000000,2026-03-11T10:20:20.000000,CE,24150.0,24150.0,24100.0,24129.55,24115.8,277.4,271.25,15,75,STOP,-6.149999999999977,-461.2499999999983,225.0,12.71484375,40,10,287.71484375,-748.9648437499983,false
19,2026-03-12,2026-03-12T10:15:05.000000,2026-03-12T10:16:45.000000,CE,23600.0,23600.0,23600.0,23607.85,23596.9,297.85,291.0,20,100,STOP,-6.850000000000023,-513.7500000000017,225.0,13.640625,40,10,288.640625,-802.3906250000017,false
20,2026-03-12,2026-03-12T10:16:45.000000,2026-03-12T10:18:45.000000,CE,23600.0,23600.0,23600.0,23596.9,23604.05,291.0,294.55,24,120,TIME,3.5500000000000114,266.25000000000085,225.0,13.80703125,40,10,288.80703125,-22.55703124999917,false
21,2026-03-12,2026-03-12T10:18:45.000000,2026-03-12T10:20:45.000000,CE,23600.0,23600.0,23600.0,23604.05,23617.9,294.55,300.9,24,120,TIME,6.349999999999966,476.24999999999744,225.0,14.104687499999999,40,10,289.1046875,187.14531249999743,false
22,2026-03-13,2026-03-13T10:15:05.000000,2026-03-13T10:17:05.000000,CE,23350.0,23350.0,23300.0,23328.75,23323.15,247.05,246.75,24,120,TIME,-0.30000000000001137,-22.500000000000853,225.0,11.566406250000002,40,10,286.56640625,-309.06640625000085,false
23,2026-03-13,2026-03-13T10:17:05.000000,2026-03-13T10:19:05.000000,CE,23300.0,23300.0,23350.0,23323.15,23328.55,274.1,277.1,24,120,TIME,3.0,225.0,225.0,12.989062500000001,40,10,287.9890625,-62.98906249999999,false
24,2026-03-13,2026-03-13T10:19:05.000000,2026-03-13T10:19:55.000000,CE,23350.0,23350.0,23300.0,23328.55,23317.5,248.35,242.0,10,50,STOP,-6.349999999999994,-476.24999999999955,225.0,11.34375,40,10,286.34375,-762.5937499999995,false
25,2026-03-16,2026-03-16T09:30:00.000000,2026-03-16T09:30:25.000000,PE,23150.0,23150.0,23200.0,23164.85,23179.65,161.15,153.15,5,25,STOP,-8.0,-600.0,225.0,7.178906250000001,40,10,282.17890625,-882.17890625,false
26,2026-03-16,2026-03-16T09:30:25.000000,2026-03-16T09:31:20.000000,PE,23200.0,23200.0,23200.0,23179.65,23189.55,175.15,168.85,11,55,STOP,-6.300000000000011,-472.50000000000085,225.0,7.914843749999999,40,10,282.91484375,-755.4148437500008,false
27,2026-03-16,2026-03-16T09:31:20.000000,2026-03-16T09:33:10.000000,PE,23200.0,23200.0,23200.0,23189.55,23209.65,168.85,159.65,22,110,STOP,-9.199999999999989,-689.9999999999991,225.0,7.48359375,40,10,282.48359375,-972.483593749999,false
28,2026-03-17,2026-03-17T10:15:05.000000,2026-03-17T10:17:05.000000,CE,23550.0,23550.0,23550.0,23535.5,23541.75,66.85,64.35,24,120,TIME,-2.5,-187.5,225.0,3.0164062499999997,40,10,278.01640625,-465.51640625,false
29,2026-03-17,2026-03-17T10:17:05.000000,2026-03-17T10:19:05.000000,CE,23550.0,23550.0,23550.0,23541.75,23543.05,64.35,65.3,24,120,TIME,0.9500000000000028,71.25000000000021,225.0,3.0609375,40,10,278.0609375,-206.8109374999998,false
30,2026-03-17,2026-03-17T10:19:05.000000,2026-03-17T10:20:55.000000,CE,23550.0,23550.0,23550.0,23543.05,23556.2,65.3,75.35,22,110,TARGET,10.049999999999997,753.7499999999998,225.0,3.5320312499999997,40,10,278.53203125,475.2179687499998,false
31,2026-03-18,2026-03-18T10:15:05.000000,2026-03-18T10:17:05.000000,CE,23650.0,23650.0,23700.0,23665.05,23686.4,237.3,245.0,24,120,TIME,7.699999999999989,577.4999999999991,225.0,11.484375,40,10,286.484375,291.0156249999991,false
32,2026-03-18,2026-03-18T10:17:05.000000,2026-03-18T10:18:55.000000,CE,23700.0,23700.0,23700.0,23686.4,23703.8,217.0,228.0,22,110,TARGET,11.0,825.0,225.0,10.687500000000002,40,10,285.6875,539.3125,false
33,2026-03-18,2026-03-18T10:18:55.000000,2026-03-18T10:20:55.000000,CE,23700.0,23700.0,23700.0,23703.8,23707.1,228.0,226.5,24,120,TIME,-1.5,-112.5,225.0,10.6171875,40,10,285.6171875,-398.1171875,false
34,2026-03-19,2026-03-19T10:15:05.000000,2026-03-19T10:17:05.000000,CE,23250.0,23250.0,23200.0,23226.75,23209.8,219.6,213.65,24,120,TIME,-5.949999999999989,-446.24999999999915,225.0,10.01484375,40,10,285.01484375,-731.2648437499992,false
35,2026-03-19,2026-03-19T10:17:05.000000,2026-03-19T10:19:05.000000,CE,23200.0,23200.0,23200.0,23209.8,23218.95,239.9,246.0,24,120,TIME,6.099999999999994,457.49999999999955,225.0,11.53125,40,10,286.53125,170.96874999999955,false
36,2026-03-19,2026-03-19T10:19:05.000000,2026-03-19T10:21:05.000000,CE,23200.0,23200.0,23200.0,23218.95,23224.85,246.0,247.05,24,120,TIME,1.0500000000000114,78.75000000000085,225.0,11.580468750000001,40,10,286.58046875,-207.83046874999917,false
